,Level,Freq,Percent,
Variable,,,,
,,,,
1,Nome completo,1,1,2
2,Nome completo,10,1,2
3,Nome completo,11,1,2
4,Nome completo,16,2,4
5,Nome completo,17,2,4
6,Nome completo,19,1,2
7,Nome completo,2,1,2
8,Nome completo,20,1,2
9,Nome completo,21,1,2
10,Nome completo,22,3,6
11,Nome completo,23,1,2
12,Nome completo,27,1,2
13,Nome completo,28,1,2
14,Nome completo,31,2,4
15,Nome completo,33,1,2
16,Nome completo,34,2,4
17,Nome completo,39,2,4
18,Nome completo,42,2,4
19,Nome completo,5,1,2
20,Nome completo,51,2,4
21,Nome completo,52,1,2
22,Nome completo,56,1,2
23,Nome completo,58,1,2
24,Nome completo,61,1,2
25,Nome completo,62,1,2
26,Nome completo,64,1,2
27,Nome completo,65,1,2
28,Nome completo,66,1,2
29,Nome completo,67,1,2
30,Nome completo,68,1,2
31,Nome completo,69,1,2
32,Nome completo,7,2,4
33,Nome completo,71,2,4
34,Nome completo,74,1,2
35,Nome completo,75,3,6
36,Nome completo,9,2,4
37,Event Name,1visit,8,16
38,Event Name,2visit,19,38
39,Event Name,3visit,23,46
40,Algum Evento Adverso neste ciclo?,Sim,50,100
41,Evento Adverso Grave?  ,Não,48,96
42,Evento Adverso Grave?  ,Sim,2,4
43,Evento Adverso,Abdominal Cramp,1,2
44,Evento Adverso,Absent,1,2
45,Evento Adverso,Anasarca,1,2
46,Evento Adverso,Anxiety,3,6
47,Evento Adverso,Bowel Problems Frequency,1,2
48,Evento Adverso,Constipation,1,2
49,Evento Adverso,Dengue Fever,2,4
50,Evento Adverso,Diarrhea,4,8
51,Evento Adverso,"Dry Mouth, CTCAE",1,2
52,Evento Adverso,Dryness,1,2
53,Evento Adverso,Dysgeusia,1,2
54,Evento Adverso,Edema,2,4
55,Evento Adverso,Fall,1,2
56,Evento Adverso,"Flu-Like Syndrome, CTCAE",1,2
57,Evento Adverso,Hand Injury,1,2
58,Evento Adverso,Headache,2,4
59,Evento Adverso,Heartburn,1,2
60,Evento Adverso,Helicobacter pylori,1,2
61,Evento Adverso,Ligament Injury,1,2
62,Evento Adverso,Menstrual Cycle,1,2
63,Evento Adverso,Menstrual Disorder,1,2
64,Evento Adverso,Menstruation,1,2
65,Evento Adverso,Migraine,2,4
66,Evento Adverso,Mood Lability,1,2
67,Evento Adverso,Nausea,3,6
68,Evento Adverso,Other,1,2
69,Evento Adverso,Pain,1,2
70,Evento Adverso,Pain in Epigastrium,2,4
71,Evento Adverso,Pneumonia,2,4
72,Evento Adverso,Rhinitis,1,2
73,Evento Adverso,Sinusitis,2,4
74,Evento Adverso,Sleepiness,1,2
75,Evento Adverso,Study Start Date,1,2
76,Evento Adverso,Swallowing is Painful,1,2
77,Evento Adverso,"Upper Respiratory Infection, CTCAE",1,2
78,Evento Adverso,Urinary Tract Infection,1,2
79,Classificação,Alergia/Imunologia,2,4
80,Classificação,Dor,1,2
81,Classificação,Endócrino,3,6
82,Classificação,Gastrointestinal,18,36
83,Classificação,Infecção,6,12
84,Classificação,Linfáticos,1,2
