,"Comparação da análise de impedância bioelétrica corporal basal dos participantes de pesquisa do sexo masculino, conforme o grupo de alocação.",,,,,,,,,,,,,
,,Grupo placebo,Grupo intervenção,Teste T,Valor p,Valor p,,,,,,,,
2,Ângulo de Fase,7.2 (6.9–7.4),6.8 (6.6–6.9),2.54,0.035*,0.035,,,,,,,,
3,Média de Resistência,461.3 (415.5–507.1),410.6 (376.6–444.7),1.74,0.122,0.122,,,,,,,,
4,Média de Reatância,57.8 (53–62.6),48.8 (44.7–52.8),2.82,0.026*,0.026,,,,,,,,
5,Peso,99 (92.6–105.3),109.1 (105.6–112.6),-2.72,0.026*,0.026,,,,,,,,
6,Altura,1.8 (1.7–1.8),1.8 (1.8–1.8),-1.21,0.267,0.267,,,,,,,,
7,Cintura,1.1 (1–1.1),1.1 (1–1.2),-0.38,0.726,0.726,,,,,,,,
8,Nível de Atividade Física,1.4 (1.2–1.5),1.4 (1.2–1.6),-0.21,0.843,0.843,,,,,,,,
9,Índice de Massa Corporal,31.8 (30.7–33),34.1 (33.1–35.1),-2.85,0.026*,0.026,,,,,,,,
10,Gasto Energético Total,11.7 (10.3–13.1),12.5 (10.3–14.6),-0.6,0.583,0.583,,,,,,,,
11,Gasto Energético em Repouso,8.5 (8.2–8.8),8.9 (8.7–9.1),-2.33,0.048*,0.048,,,,,,,,
12,Energia Armazenada,1656.1 (1496.2–1816),1714.7 (1498.3–1931.1),-0.43,0.69,0.690,,,,,,,,
13,Massa de Gordura Absoluta,34.2 (30.1–38.3),34.5 (28.7–40.4),-0.09,0.934,0.934,,,,,,,,
14,Índice de Massa de Gordura,11 (9.7–12.3),10.8 (9.1–12.5),0.21,0.846,0.846,,,,,,,,
15,Massa de Gordura Relativa,34.6 (30.9–38.3),31.6 (27.1–36.1),1.01,0.362,0.362,,,,,,,,
16,Massa Livre de Gordura Absoluta,64.7 (59.2–70.3),74.5 (70.8–78.2),-2.89,0.021*,0.021,,,,,,,,
17,Índice de Massa Livre de Gordura,20.8 (19.5–22.1),23.3 (21.9–24.7),-2.55,0.045*,0.045,,,,,,,,
18,Massa Livre de Gordura Relativa,65.4 (61.7–69.1),68.4 (63.9–72.9),-1.01,0.362,0.362,,,,,,,,
19,MME corporal total,32.9 (30.3–35.6),37.1 (35.5–38.6),-2.66,0.029*,0.029,,,,,,,,
20,MME do Tronco,15.1 (13.5–16.7),16.7 (16–17.3),-1.77,0.118,0.118,,,,,,,,
21,MME do Braço Direito,2 (1.8–2.3),2.3 (2.2–2.4),-2.07,0.076,0.076,,,,,,,,
22,MME do Braço Esquerdo,2 (1.8–2.2),2.3 (2.2–2.4),-2.6,0.032*,0.032,,,,,,,,
23,MME da Perna Direita,6.8 (6.5–7.2),7.8 (7.2–8.5),-2.64,0.073,0.073,,,,,,,,
24,MME da Perna Esquerda,7 (6.6–7.4),7.9 (7.4–8.4),-2.96,0.036*,0.036,,,,,,,,
25,Tecido Adiposo Visceral,4.6 (3.8–5.5),4.2 (2.7–5.8),0.41,0.71,0.710,,,,,,,,
26,Água Corporal Total,47.6 (43.5–51.7),54.8 (51.9–57.7),-2.79,0.025*,0.025,,,,,,,,
27,Água Extracelular,19.6 (17.9–21.3),23.1 (21.7–24.4),-3.13,0.016*,0.016,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
