grip_dominance, Dominância da mão
grip_rhpain, Dor ou rigidez mão direita
grip_lhpain, Dor ou rigidez mão esquerda
ecap_9_compensate, ECAP compensação
ecap_8_binge_quantity, ECAP quantidade exagerada
ecap_7_diet_failure, ECAP falha na dieta
ecap_6_guilt, ECAP culpa
ecap_5_hunger, ECAP fome
ecap_4_emotional_eating, ECAP comer emocional
ecap_3_impulse, ECAP impulso
ecap_2_eating_speed, ECAP velocidade de comer
ecap_16_hunger_awareness, ECAP consciência da fome
ecap_15_food_thoughts, ECAP pensamentos sobre comida
ecap_14_worry, ECAP preocupação
ecap_13_meal_frequency, ECAP frequência de refeições
ecap_12_social_eating, ECAP comer socialmente
