variable_order,variable_original,variable_recoded,label_original,label_pt,label_en,form_name_pt,form_name_en,field_type,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Field Annotation,eleg_arm_1,1visit_arm_1,2visit_arm_1,3visit_arm_1,Variable column (Original),Included,Factor,Level_pt
1,record_id,record_id,Nome completo,Nome completo,Full Name,elegibilidade,elegibility,text,,,,,,,,,1,,,,A,0,,
2,redcap_event_name,event_name,Event Name,Nome do evento,Event Name,na,na,text,"1visit_arm_1, Primeira visita | 2visit_arm_1, Visita dos 45 dias | 3visit_arm_1, Visita dos 90 dias",,,,,,,,,,,,B,0,"data$event_name.factor = factor(data$event_name,levels=c(""eleg_arm_1"",""1visit_arm_1"",""2visit_arm_1"",""3visit_arm_1"")) # event_name 116","levels(data$event_name.factor)=c(""Eleg"",""1visit"",""2visit"",""3visit"") # event_name 67"
3,redcap_repeat_instrument,repeat_instrument,Repeat Instrument,Repetir instrumento,Repeat Instrument,na,na,text,,,,,,,,,,,,,C,1,"data$repeat_instrument.factor = factor(data$repeat_instrument,levels=c(""sintomas"",""exame_fsico"",""exames_laboratoriais"",""adeso"",""eventos_adversos"",""contato_semanal"",""comorbidades"",""medicamentos_de_uso_habitual"",""medicamentos_prvios"",""antecedentes_pessoais"",""anexos"")) # repeat_instrument 266","levels(data$repeat_instrument.factor)=c(""Sintomas"",""Exame físico"",""Exames Laboratoriais"",""Adesão"",""Eventos Adversos"",""CONTATO SEMANAL"",""Comorbidades"",""Medicamentos De Uso Habitual"",""Medicamentos Prévios"",""Antecedentes Pessoais"",""ANEXOS"") # repeat_instrument 237"
4,redcap_repeat_instance,repeat_instance,Repeat Instance,Instância repetida,Repeated Instance,na,na,text,,,,,,,,,,,,,D,1,,
5,date_birth,date_birth,Data de nascimento,Data de nascimento,Date of Birth,elegibilidade,elegibility,text,,,date_dmy,,,,, @HIDEBUTTON,1,,,,E,1,,
6,eleg_age,age,Idade,Idade,Age,elegibilidade,elegibility,calc,"rounddown(datediff([date_birth], [eleg_date], 'y'))",elegível apenas entre 18 e 59 anos,,,,,, @HIDDEN,1,,,,F,1,,
7,ubs,ubs,UBS/ESF,UBS/ESF,UBS/ESF,elegibilidade,elegibility,radio,"1, Vila Reis - ESF I Gilberto Rinaldi, UBS I Dr Pedro Saud | 2, Bom Jesus - ESF II Nelson Pereira Lima | 3, Ilha Grande - ESF III João Pegoraro | 4, Juruce - ESF/UBS IV Sarandy | 5, Vila Paulista - ESF V Joao Augusto dos Reis | 6, Morumbi - ESF VI Antonio Jacomini | 7, Doutor Francisco Xavier Toda Filho - ESF VII | 8, Santa Julia - UBS Ruth Rodrigues de Pereira",UBS/ESF do participante,,,,,,,1,,,,G,0,"data$ubs.factor = factor(data$ubs,levels=c(""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"")) # ubs 76","levels(data$ubs.factor)=c(""Vila Reis - ESF I Gilberto Rinaldi, UBS I Dr Pedro Saud"",""Bom Jesus - ESF II Nelson Pereira Lima"",""Ilha Grande - ESF III João Pegoraro"",""Juruce - ESF/UBS IV Sarandy"",""Vila Paulista - ESF V Joao Augusto dos Reis"",""Morumbi - ESF VI Antonio Jacomini"",""Doutor Francisco Xavier Toda Filho - ESF VII"",""Santa Julia - UBS Ruth Rodrigues de Pereira"") # ubs 368"
8,mob_option,contact_options,Quais as formas possíveis de contato pelo celular?,Formas de contato,Contact Methods,elegibilidade,elegibility,radio,"1, Ligação regular (operadora) | 2, WhatsApp: mensagem | 3, WhatsApp: mensagem, ligação áudio | 4, WhatsApp: mensagem, ligação áudio/vídeo | 5, Todos",obrigatório,,,,,,,1,,,,H,0,"data$contact_options.factor = factor(data$contact_options,levels=c(""1"",""2"",""3"",""4"",""5"")) # contact_options 88","levels(data$contact_options.factor)=c(""Ligação regular (operadora)"",""WhatsApp: mensagem"",""WhatsApp: mensagem, ligação áudio"",""WhatsApp: mensagem, ligação áudio/vídeo"",""Todos"") # contact_options 175"
9,mob_hour,contact_hours,Quais os horários possíveis para contato?,Horários para contato,Contact Hours,elegibilidade,elegibility,radio,"1, Manhã | 2, Manhã e tarde | 3, Tarde | 4, Noite | 5, Tarde e noite | 6, Qualquer horário",,,,,,,,1,,,,I,0,"data$contact_hours.factor = factor(data$contact_hours,levels=c(""1"",""2"",""3"",""4"",""5"",""6"")) # contact_hours 88","levels(data$contact_hours.factor)=c(""Manhã"",""Manhã e tarde"",""Tarde"",""Noite"",""Tarde e noite"",""Qualquer horário"") # contact_hours 111"
10,mob_days,contact_days,Quais os dias possíveis para contato?,Dias para contato,Contact Days,elegibilidade,elegibility,radio,"1, Dias da semana | 2, Final de semana | 3, Qualquer dia",,,,,,,,1,,,,J,0,"data$contact_days.factor = factor(data$contact_days,levels=c(""1"",""2"",""3"")) # contact_days 74","levels(data$contact_days.factor)=c(""Dias da semana"",""Final de semana"",""Qualquer dia"") # contact_days 85"
