index,variable,label_pt,included,eleg,V1,V2,V3,repeating_instrument,form_name_en,field_type,col_types,choices,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,branching_logic_(show_field_only_if...),required_field?,field_annotation,variable_column_(original),factor,level_pt,variable_original,label_original,form_name_pt,label_en
1,record_id,Nome completo,1,1,1,1,1,0,elegibility,text,c,,,,,,,,,A,,,record_id,Nome completo,elegibilidade,Full Name
2,event_name,Nome do evento,1,1,1,1,1,0,na,text,f,"1visit_arm_1, Primeira visita | 2visit_arm_1, Visita dos 45 dias | 3visit_arm_1, Visita dos 90 dias",,,,,,,,B,"data$event_name.factor = factor(data$event_name,levels=c(""eleg_arm_1"",""1visit_arm_1"",""2visit_arm_1"",""3visit_arm_1"")) # event_name 116","levels(data$event_name.factor)=c(""Eleg"",""1visit"",""2visit"",""3visit"") # event_name 67",redcap_event_name,Event Name,na,Event Name
3,repeat_instrument,Repetir instrumento,1,1,1,1,1,0,na,text,c,,,,,,,,,C,"data$repeat_instrument.factor = factor(data$repeat_instrument,levels=c(""sintomas"",""exame_fsico"",""exames_laboratoriais"",""adeso"",""eventos_adversos"",""contato_semanal"",""comorbidades"",""medicamentos_de_uso_habitual"",""medicamentos_prvios"",""antecedentes_pessoais"",""anexos"")) # repeat_instrument 266","levels(data$repeat_instrument.factor)=c(""Sintomas"",""Exame físico"",""Exames Laboratoriais"",""Adesão"",""Eventos Adversos"",""CONTATO SEMANAL"",""Comorbidades"",""Medicamentos De Uso Habitual"",""Medicamentos Prévios"",""Antecedentes Pessoais"",""ANEXOS"") # repeat_instrument 237",redcap_repeat_instrument,Repeat Instrument,na,Repeat Instrument
4,repeat_instance,Instância repetida,1,1,1,1,1,0,na,text,i,,,,,,,,,D,,,redcap_repeat_instance,Repeat Instance,na,Repeated Instance
5,date_birth,Data de nascimento,1,1,0,0,0,0,elegibility,text,D,,,date_dmy,,,,, @HIDEBUTTON,E,,,date_birth,Data de nascimento,elegibilidade,Date of Birth
6,age,Idade,1,1,0,0,0,0,elegibility,calc,d,"rounddown(datediff([date_birth], [eleg_date], 'y'))",elegível apenas entre 18 e 59 anos,,,,,, @HIDDEN,F,,,eleg_age,Idade,elegibilidade,Age
7,ubs,UBS/ESF,0,1,0,0,0,0,elegibility,radio,f,"1, Vila Reis - ESF I Gilberto Rinaldi, UBS I Dr Pedro Saud | 2, Bom Jesus - ESF II Nelson Pereira Lima | 3, Ilha Grande - ESF III João Pegoraro | 4, Juruce - ESF/UBS IV Sarandy | 5, Vila Paulista - ESF V Joao Augusto dos Reis | 6, Morumbi - ESF VI Antonio Jacomini | 7, Doutor Francisco Xavier Toda Filho - ESF VII | 8, Santa Julia - UBS Ruth Rodrigues de Pereira",UBS/ESF do participante,,,,,,,G,"data$ubs.factor = factor(data$ubs,levels=c(""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"")) # ubs 76","levels(data$ubs.factor)=c(""Vila Reis - ESF I Gilberto Rinaldi, UBS I Dr Pedro Saud"",""Bom Jesus - ESF II Nelson Pereira Lima"",""Ilha Grande - ESF III João Pegoraro"",""Juruce - ESF/UBS IV Sarandy"",""Vila Paulista - ESF V Joao Augusto dos Reis"",""Morumbi - ESF VI Antonio Jacomini"",""Doutor Francisco Xavier Toda Filho - ESF VII"",""Santa Julia - UBS Ruth Rodrigues de Pereira"") # ubs 368",ubs,UBS/ESF,elegibilidade,UBS/ESF
8,contact_options,Formas de contato,0,1,0,0,0,0,elegibility,radio,f,"1, Ligação regular (operadora) | 2, WhatsApp: mensagem | 3, WhatsApp: mensagem, ligação áudio | 4, WhatsApp: mensagem, ligação áudio/vídeo | 5, Todos",obrigatório,,,,,,,H,"data$contact_options.factor = factor(data$contact_options,levels=c(""1"",""2"",""3"",""4"",""5"")) # contact_options 88","levels(data$contact_options.factor)=c(""Ligação regular (operadora)"",""WhatsApp: mensagem"",""WhatsApp: mensagem, ligação áudio"",""WhatsApp: mensagem, ligação áudio/vídeo"",""Todos"") # contact_options 175",mob_option,Quais as formas possíveis de contato pelo celular?,elegibilidade,Contact Methods
9,contact_hours,Horários para contato,0,1,0,0,0,0,elegibility,radio,f,"1, Manhã | 2, Manhã e tarde | 3, Tarde | 4, Noite | 5, Tarde e noite | 6, Qualquer horário",,,,,,,,I,"data$contact_hours.factor = factor(data$contact_hours,levels=c(""1"",""2"",""3"",""4"",""5"",""6"")) # contact_hours 88","levels(data$contact_hours.factor)=c(""Manhã"",""Manhã e tarde"",""Tarde"",""Noite"",""Tarde e noite"",""Qualquer horário"") # contact_hours 111",mob_hour,Quais os horários possíveis para contato?,elegibilidade,Contact Hours
10,contact_days,Dias para contato,0,1,0,0,0,0,elegibility,radio,f,"1, Dias da semana | 2, Final de semana | 3, Qualquer dia",,,,,,,,J,"data$contact_days.factor = factor(data$contact_days,levels=c(""1"",""2"",""3"")) # contact_days 74","levels(data$contact_days.factor)=c(""Dias da semana"",""Final de semana"",""Qualquer dia"") # contact_days 85",mob_days,Quais os dias possíveis para contato?,elegibilidade,Contact Days
