"Time / Date",Username,Action,"List of Data Changes OR Fields Exported",Record
"2025-01-15 11:59",gsplmoura,"Manage/Design ","Export logging (custom)",
"2025-01-13 20:42",gsplmoura,"Manage/Design ","Edit report (report: ""Adverse event"", report_id: 8967, fields: record_id, ae_evaluation_date, ae_yes_no, sae, adverse_event, aes, grade, start_date, stop_date, attribution, action_taken, seguimento, ae_description)",
"2025-01-12 21:22",gsplmoura,"Manage/Design ","Edit report (report: ""Adverse event"", report_id: 8967, fields: record_id, ae_evaluation_date, ae_yes_no, sae, adverse_event, aes, grade, start_date, stop_date, attribution, action_taken, seguimento, ae_description)",
"2025-01-12 21:21",gsplmoura,"Manage/Design ","Edit report (report: ""Adverse event"", report_id: 8967, fields: record_id, ae_evaluation_date, ae_yes_no, sae, adverse_event, aes, grade, start_date, stop_date, attribution, action_taken, seguimento, ae_description)",
"2025-01-12 21:20",gsplmoura,"Manage/Design ","Edit report (report: ""Adverse event"", report_id: 8967, fields: record_id, ae_evaluation_date, ae_yes_no, sae, adverse_event, aes, grade, start_date, stop_date, attribution, action_taken, seguimento, ae_description)",
"2025-01-12 21:20",gsplmoura,"Manage/Design ","Edit report (report: ""Adverse event"", report_id: 8967, fields: record_id, ae_evaluation_date, ae_yes_no, sae, adverse_event, aes, grade, start_date, stop_date, attribution, action_taken, seguimento, ae_description)",
"2025-01-12 21:19",gsplmoura,"Manage/Design ","Edit report (report: ""Adverse event"", report_id: 8967, fields: record_id, ae_evaluation_date, ae_yes_no, sae, adverse_event, aes, grade, start_date, stop_date, attribution, action_taken, seguimento, ae_description)",
"2025-01-12 19:26",gsplmoura,"Manage/Design ","Edit report (report: ""Adverse event"", report_id: 8967, fields: record_id, ae_evaluation_date, ae_yes_no, sae, adverse_event, ae_description, aes, grade, start_date, stop_date, attribution, action_taken, seguimento, additional_aes, ae_concatenate, eventos_adversos_complete)",
"2025-01-12 19:12",gsplmoura,"Manage/Design ","Edit report (report: ""Conclusão"", report_id: 8959, fields: record_id, c25250, conclusion_date, c66727, c66727_detail, c66727_action, c66727_response, concluso_complete)",
"2025-01-12 16:34",gsplmoura,"Manage/Design ","Edit report (report: ""Conclusão"", report_id: 8959, fields: record_id, c25250, conclusion_date, c66727, conclusion_info, c66727_detail, c66727_action, c66727_response, concluso_complete)",
"2025-01-12 16:33",gsplmoura,"Manage/Design ","Edit report (report: ""Conclusão"", report_id: 8959, fields: record_id, c25250, conclusion_date, c66727, conclusion_info, c66727_detail, c66727_action, c66727_response, concluso_complete)",
"2025-01-06 12:53",gsplmoura,"Manage/Design ","Click project bookmark",
"2025-01-06 12:53",gsplmoura,"Manage/Design ","Click project bookmark",
"2025-01-06 12:38",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-12-19 16:37",gsplmoura,"Manage/Design ","Download data dictionary",
"2024-12-16 15:16",gsplmoura,"Manage/Design ","Click project bookmark",
"2024-12-10 18:34",gsplmoura,"Manage/Design ","Export instruments (API)",
"2024-12-10 18:34",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 18:34",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 18:34",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 18:34",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 18:33",gsplmoura,"Manage/Design ","Export instruments (API)",
"2024-12-10 18:33",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 18:33",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 18:33",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 18:33",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 18:32",gsplmoura,"Manage/Design ","Export instruments (API)",
"2024-12-10 18:31",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 18:31",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 18:31",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 18:31",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 18:25",gsplmoura,"Manage/Design ","Export instruments (API)",
"2024-12-10 18:25",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 18:25",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 18:25",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 18:25",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 18:17",gsplmoura,"Manage/Design ","Export instruments (API)",
"2024-12-10 18:17",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 18:17",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 18:17",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 18:17",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 18:10",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 18:10",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 18:10",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 18:10",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 18:03",gsplmoura,"Manage/Design ","Export instruments (API)",
"2024-12-10 18:03",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 18:02",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 18:02",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 18:02",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 18:02",gsplmoura,"Manage/Design ","Export instruments (API)",
"2024-12-10 18:01",gsplmoura,"Manage/Design ","Export events (API)",
"2024-12-10 18:01",gsplmoura,"Manage/Design ","Export instrument-event mappings (API)",
"2024-12-10 18:01",gsplmoura,"Manage/Design ","Export arms (API)",
"2024-12-10 18:01",gsplmoura,"Manage/Design ","Download data dictionary (API)",
"2024-12-10 17:59",gsplmoura,"Manage/Design ","Export instruments (API)",
