variable,eleg_arm_1,V1,V2,V3,included,repeating_instrument,form_name_en
record_id,1,1,1,1,1,0,elegibility
event_name,1,1,1,1,1,0,na
repeat_instrument,1,1,1,1,1,0,na
repeat_instance,1,1,1,1,1,0,na
date_birth,1,0,0,0,1,0,elegibility
age,1,0,0,0,1,0,elegibility
ubs,1,0,0,0,0,0,elegibility
contact_options,1,0,0,0,0,0,elegibility
contact_hours,1,0,0,0,0,0,elegibility
contact_days,1,0,0,0,0,0,elegibility
transport_research_center,1,0,0,0,0,0,elegibility
research_source_info,1,0,0,0,0,0,elegibility
availability_comments_yn,1,0,0,0,0,0,elegibility
availability_comments,1,0,0,0,0,0,elegibility
sex,1,0,0,0,1,0,elegibility
pregnant_nursing_yn,1,0,0,0,0,0,elegibility
eleg_height,1,0,0,0,0,0,elegibility
eleg_weight,1,0,0,0,0,0,elegibility
bmi_reported,1,0,0,0,0,0,elegibility
eleg_comorbidity_yn,1,0,0,0,0,0,elegibility
comorbidity_list,1,0,0,0,0,0,elegibility
drug_use_yn,1,0,0,0,0,0,elegibility
drug_list,1,0,0,0,0,0,elegibility
high_risk_pregnancy_ineffective_contraceptives,1,0,0,0,0,0,elegibility
high_risk_pregnancy_inconsistent_contraceptives,1,0,0,0,0,0,elegibility
high_risk_pregnancy_unprotected_sex,1,0,0,0,0,0,elegibility
high_risk_pregnancy_infertility_treatment,1,0,0,0,0,0,elegibility
high_risk_pregnancy_postpartum,1,0,0,0,0,0,elegibility
high_risk_pregnancy_none,1,0,0,0,0,0,elegibility
high_risk_fem_noinfo,1,0,0,0,0,0,elegibility
high_risk_fem_unknown,1,0,0,0,0,0,elegibility
high_risk_fem_notasked,1,0,0,0,0,0,elegibility
high_risk_fem_askunknown,1,0,0,0,0,0,elegibility
high_risk_fem_invalid,1,0,0,0,0,0,elegibility
high_risk_fem_na,1,0,0,0,0,0,elegibility
pregnancy_test_and_contraceptive_agreement,1,0,0,0,0,0,elegibility
low_risk_pregnancy_effective_contraceptives,1,0,0,0,0,0,elegibility
menopause,1,0,0,0,1,0,elegibility
low_risk_pregnancy_surgical_sterilization,1,0,0,0,0,0,elegibility
low_risk_pregnancy_no_sex_6_months,1,0,0,0,0,0,elegibility
low_risk_pregnancy_no_sex,1,0,0,0,0,0,elegibility
low_risk_pregnancy_infertility_diagnosis,1,0,0,0,0,0,elegibility
low_risk_pregnancy_exclusive_homo_sexual_behavior,1,0,0,0,0,0,elegibility
low_risk_fem_noinfo,1,0,0,0,0,0,elegibility
low_risk_fem_unknown,1,0,0,0,0,0,elegibility
low_risk_fem_notasked,1,0,0,0,0,0,elegibility
low_risk_fem_askunknown,1,0,0,0,0,0,elegibility
low_risk_fem_invalid,1,0,0,0,0,0,elegibility
low_risk_fem_na,1,0,0,0,0,0,elegibility
contraceptive_continuation_agreement,1,0,0,0,0,0,elegibility
lab_notes,1,0,0,0,0,0,elegibility
consultation_schedule_date,1,0,0,0,0,0,elegibility
eleg_lab_request_date,1,0,0,0,0,0,elegibility
lab_schedule_date,1,0,0,0,0,0,elegibility
eleg_lab_location,1,0,0,0,0,0,elegibility
lab_collected_yn,1,0,0,0,0,0,elegibility
lab_checked_yn,1,0,0,0,0,0,elegibility
lab_finding_yn,1,0,0,0,0,0,elegibility
lab_exclusion_yn,1,0,0,0,0,0,elegibility
bhcg,1,0,0,0,0,0,elegibility
contraception,1,0,0,0,0,0,elegibility
preserved_hormone,1,0,0,0,1,0,elegibility
contraception_ready_yn,1,0,0,0,0,0,elegibility
contraception_ineligibility,1,0,0,0,0,0,elegibility
consent_sent_yn,1,0,0,0,0,0,elegibility
consent_read_yn,1,0,0,0,0,0,elegibility
consent_questions_yn,1,0,0,0,0,0,elegibility
consent_questions_2_yn,1,0,0,0,0,0,elegibility
consent_questions_cleared_yn,1,0,0,0,0,0,elegibility
participant_desire_yn,1,0,0,0,0,0,elegibility
first_visit_date,1,0,0,0,0,0,elegibility
sms_consent_yn,1,0,0,0,0,0,elegibility
block_alerts_1st_yn,1,0,0,0,0,0,elegibility
interview_datetime,1,0,0,0,0,0,elegibility
eleg_interviewer,1,0,0,0,0,0,elegibility
eleg_complete,1,0,0,0,0,0,elegibility
consent_signed_yn,0,1,0,0,0,0,tcle
consent_date,0,1,0,0,0,0,tcle
consent_upload,0,1,0,0,0,0,tcle
tcle_complete,0,1,0,0,0,0,tcle
race,0,1,0,0,1,0,demographic
race_other,0,1,0,0,0,0,demographic
marital_status,0,1,0,0,1,0,demographic
education_years,0,1,0,0,1,0,demographic
employment_status,0,1,0,0,1,0,demographic
household_size,0,1,0,0,1,0,demographic
income_level,0,1,0,0,1,0,demographic
demographic_metadata,0,1,0,0,0,0,demographic
demographic_complete,0,1,0,0,0,0,demographic
whoqol_timestamp,0,1,0,1,0,0,whoqol
whoqol_1_quality,0,1,0,1,0,0,whoqol
whoqol_2_health,0,1,0,1,0,0,whoqol
whoqol_3_pain,0,1,0,1,0,0,whoqol
whoqol_4_treatment,0,1,0,1,0,0,whoqol
whoqol_5_enjoyment,0,1,0,1,0,0,whoqol
whoqol_6_meaning,0,1,0,1,0,0,whoqol
whoqol_7_concentration,0,1,0,1,0,0,whoqol
whoqol_8_security,0,1,0,1,0,0,whoqol
whoqol_9_environment,0,1,0,1,0,0,whoqol
whoqol_10_energy,0,1,0,1,0,0,whoqol
whoqol_11_appearance,0,1,0,1,0,0,whoqol
whoqol_12_finances,0,1,0,1,0,0,whoqol
whoqol_13_information,0,1,0,1,0,0,whoqol
whoqol_14_leisure,0,1,0,1,0,0,whoqol
whoqol_15_mobility,0,1,0,1,0,0,whoqol
whoqol_16_sleep,0,1,0,1,0,0,whoqol
whoqol_17_activities,0,1,0,1,0,0,whoqol
whoqol_18_work,0,1,0,1,0,0,whoqol
whoqol_19_selfesteem,0,1,0,1,0,0,whoqol
whoqol_20_relationships,0,1,0,1,0,0,whoqol
whoqol_21_sexual,0,1,0,1,0,0,whoqol
whoqol_22_support,0,1,0,1,0,0,whoqol
whoqol_23_housing,0,1,0,1,0,0,whoqol
whoqol_24_health_services,0,1,0,1,0,0,whoqol
whoqol_25_transport,0,1,0,1,0,0,whoqol
whoqol_26_negativity,0,1,0,1,0,0,whoqol
whoqol_needed_help,0,1,0,1,0,0,whoqol
whoqol_comment,0,1,0,1,0,0,whoqol
whoqol_score_overall,0,1,0,1,1,0,whoqol
whoqol_score_health,0,1,0,1,1,0,whoqol
whoqol_score_physical,0,1,0,1,1,0,whoqol
whoqol_score_psychological,0,1,0,1,1,0,whoqol
whoqol_score_social,0,1,0,1,1,0,whoqol
whoqol_score_environment,0,1,0,1,1,0,whoqol
pdf_upload_wb,0,1,0,1,0,0,whoqol
whoqol_complete,0,1,0,1,0,0,whoqol
dass_timestamp,0,1,0,1,0,0,dass
dass_1_not_calm,0,1,0,1,0,0,dass
dass_2_drymouth,0,1,0,1,0,0,dass
dass_3_not_positive,0,1,0,1,0,0,dass
dass_4_hard_breath,0,1,0,1,0,0,dass
dass_5_no_initiative,0,1,0,1,0,0,dass
dass_6_exaggeration,0,1,0,1,0,0,dass
dass_7_tremor,0,1,0,1,0,0,dass
dass_8_nervous,0,1,0,1,0,0,dass
dass_9_worry,0,1,0,1,0,0,dass
dass_10_no_desire,0,1,0,1,0,0,dass
dass_11_agitation,0,1,0,1,0,0,dass
dass_12_not_relaxed,0,1,0,1,0,0,dass
dass_13_depression,0,1,0,1,0,0,dass
dass_14_intolerance,0,1,0,1,0,0,dass
dass_15_panic,0,1,0,1,0,0,dass
dass_16_no_enthusiasm,0,1,0,1,0,0,dass
dass_17_no_selfworth,0,1,0,1,0,0,dass
dass_18_too_emotional,0,1,0,1,0,0,dass
dass_19_palpitation,0,1,0,1,0,0,dass
dass_20_fear,0,1,0,1,0,0,dass
dass_21_no_meaning,0,1,0,1,0,0,dass
dass_score_depression,0,1,0,1,1,0,dass
dass_score_anxiety,0,1,0,1,1,0,dass
dass_score_stress,0,1,0,1,1,0,dass
dass21_upload,0,1,0,1,0,0,dass
dass_complete,0,1,0,1,0,0,dass
ecap_timestamp,0,1,0,1,0,0,ecap
ecap1,0,1,0,1,0,0,ecap
ecap2,0,1,0,1,0,0,ecap
ecap3,0,1,0,1,0,0,ecap
ecap4,0,1,0,1,0,0,ecap
ecap5,0,1,0,1,0,0,ecap
ecap6,0,1,0,1,0,0,ecap
ecap7,0,1,0,1,0,0,ecap
ecap8,0,1,0,1,0,0,ecap
ecap9,0,1,0,1,0,0,ecap
ecap10,0,1,0,1,0,0,ecap
ecap11,0,1,0,1,0,0,ecap
ecap12,0,1,0,1,0,0,ecap
ecap13,0,1,0,1,0,0,ecap
ecap14,0,1,0,1,0,0,ecap
ecap15,0,1,0,1,0,0,ecap
ecap16,0,1,0,1,0,0,ecap
ecap_response_date,0,1,0,1,0,0,ecap
ecap_1_body_image,0,1,0,1,0,0,ecap
ecap_2_eating_speed,0,1,0,1,0,0,ecap
ecap_3_impulse,0,1,0,1,0,0,ecap
ecap_4_emotional_eating,0,1,0,1,0,0,ecap
ecap_5_hunger,0,1,0,1,0,0,ecap
ecap_6_guilt,0,1,0,1,0,0,ecap
ecap_7_diet_failure,0,1,0,1,0,0,ecap
ecap_8_binge_quantity,0,1,0,1,0,0,ecap
